Area in Sqrt,No.of Bhk,Location,Price
3720,4,Sector 107, 3.9 Cr
1625,3,Sector 50, 1.15 Cr
1325,3,Sector 120, 60 L
650,1,Sector 73, 19 L
950,2,other, 25.99 L
2050,4,Sector 150, 1.98 Cr
2460,3,Sector 150, 2.22 Cr
1425,3,Sector 143B, 94.5 L
2500,3,Sector 107, 2.25 Cr
1750,3,Sector 150, 1.35 Cr
1970,3,Sector 77, 1.28 Cr
585,1,Sector 120, 29.99 L
1750,3,Sector 62, 82 L
783,3,Sector 150, 1.05 Cr
1750,3,Sector 150, 1.35 Cr
600,1,Sector 50, 12.99 L
3000,4,Sector 107, 2.97 Cr
1155,2,Sector 150, 86 L
950,2,other, 24.5 L
2150,4,Sector 41, 2.75 Cr
1525,3,Sector 75, 1 Cr
1690,3,Sector 79, 1.4 Cr
6250,5,Sector 128, 7.65 Cr
750,2,Sector 75, 21.85 L
1500,3,Sector 74, 57.52 L
1050,2,Sector 73, 25 L
1775,3,Sector 152, 1.8 Cr
2500,3,Sector 78, 2.74 Cr
2450,3,Sector 108, 3.2 Cr
3751,4,Sector 144, 5.4 Cr
1180,3,Sector 150, 39 L
1220,2,Sector 62, 1.47 Cr
600,2,Sector 49, 28 L
690,1,other, 20.99 L
1100,2,Sector 93, 79.5 L
960,2,Sector 75, 28.5 L
1150,2,Sector 143B, 80.5 L
6480,6,other, 9.25 Cr
1380,2,Sector 94, 2.2 Cr
1695,3,Sector 137, 80 L
953,2,other, 39.59 L
4874,4,Sector 108, 4.63 Cr
1200,3,Sector 150, 50 L
2715,5,Sector 79, 2.3 Cr
1580,3,Sector 137, 66.5 L
604,2,Sector 19 Yamuna Expressway, 37.96 L
1300,2,Sector 105, 92 L
1100,2,Sector 44, 35 L
3047,4,other, 1.81 Cr
8000,8,other, 5.75 Cr
1300,1,other, 95 L
1245,2,Sector 79, 81.75 L
3525,4,Sector 78, 4.23 Cr
2410,4,Sector 76, 1.35 Cr
5724,4,Sector 107, 3.1 Cr
535,1,Sector 94, 80.25 L
1350,3,Sector 121, 1.75 Cr
950,2,Sector 45, 34 L
1248,3,Sector 43, 3.35 Cr
2563,3,Sector 43, 3.35 Cr
990,2,Sector 78, 66.82 L
1390,3,Sector 78, 93.82 L
1390,3,Sector 78, 93.82 L
1465,3,Sector 78, 98.88 L
1465,3,Sector 78, 98.88 L
1404,3,Sector 150, 1.05 Cr
1155,2,Sector 150, 86 L
1155,2,Sector 150, 86 L
2500,3,Sector 107, 2.57 Cr
2970,4,Sector 107, 3.05 Cr
2970,4,Sector 107, 3.05 Cr
2575,3,Sector 107, 2.65 Cr
2575,3,Sector 107, 2.65 Cr
3550,4,Sector 107, 3.65 Cr
3550,4,Sector 107, 3.65 Cr
2510,3,Sector 75, 2.88 Cr
5300,5,Sector 75, 6.09 Cr
2700,4,Sector 150, 1.91 Cr
2700,4,Sector 150, 1.91 Cr
2700,4,Sector 150, 1.91 Cr
1465,2,Sector 150, 96.54 L
1425,2,Sector 150, 93.9 L
1945,3,Sector 150, 1.28 Cr
2385,3,Sector 150, 1.69 Cr
1945,3,Sector 150, 1.28 Cr
2385,3,Sector 150, 1.69 Cr
1760,3,Sector 150, 1.15 Cr
1760,3,Sector 150, 1.15 Cr
2700,4,Sector 150, 1.91 Cr
2700,4,Sector 150, 1.91 Cr
2700,4,Sector 150, 1.91 Cr
6250,5,Sector 128, 7.65 Cr
6250,5,Sector 128, 7.65 Cr
3465,4,Sector 128, 4.24 Cr
3465,4,Sector 128, 4.24 Cr
3325,4,Sector 128, 4.07 Cr
3325,4,Sector 128, 4.07 Cr
3775,4,Sector 128, 4.62 Cr
3775,4,Sector 128, 4.62 Cr
3575,4,Sector 128, 4.37 Cr
3575,4,Sector 128, 4.37 Cr
6100,5,Sector 128, 7.47 Cr
6100,5,Sector 128, 7.47 Cr
5550,4,Sector 128, 6.79 Cr
5550,4,Sector 128, 6.79 Cr
2700,3,Sector 128, 3.03 Cr
2700,3,Sector 128, 3.03 Cr
2850,3,Sector 128, 3.2 Cr
2850,3,Sector 128, 3.2 Cr
5900,5,Sector 128, 7.22 Cr
5900,5,Sector 128, 7.22 Cr
1510,3,Sector 78, 70 L
500,1,Sector 17A Yamuna Expressway, 21 L
500,1,Sector 17A Yamuna Expressway, 21 L
500,1,Sector 17A Yamuna Expressway, 21 L
500,1,Sector 17A Yamuna Expressway, 21 L
500,1,Sector 17A Yamuna Expressway, 21 L
500,1,Sector 17A Yamuna Expressway, 21 L
500,1,Sector 17A Yamuna Expressway, 21 L
500,1,Sector 17A Yamuna Expressway, 21 L
500,1,Sector 17A Yamuna Expressway, 20.99 L
500,1,Sector 17A Yamuna Expressway, 20.99 L
500,1,Sector 17A Yamuna Expressway, 22 L
500,1,Sector 17A Yamuna Expressway, 20.99 L
500,1,Sector 17A Yamuna Expressway, 20.99 L
500,1,Sector 17A Yamuna Expressway, 20.99 L
500,1,Sector 17A Yamuna Expressway, 20.99 L
500,1,Sector 17A Yamuna Expressway, 20.99 L
500,1,Sector 17A Yamuna Expressway, 20.99 L
500,1,Sector 17A Yamuna Expressway, 20.99 L
500,1,Sector 17A Yamuna Expressway, 20.99 L
500,1,Sector 17A Yamuna Expressway, 20.99 L
500,1,Sector 17A Yamuna Expressway, 20.99 L
500,1,Sector 17A Yamuna Expressway, 20.99 L
500,1,Sector 17A Yamuna Expressway, 20.99 L
500,1,Sector 17A Yamuna Expressway, 20.99 L
500,1,Sector 17A Yamuna Expressway, 20.99 L
500,1,Sector 17A Yamuna Expressway, 20.99 L
3220,4,Sector 150, 2.26 Cr
850,2,Sector 73, 18.5 L
550,1,Sector 72, 13 L
950,2,other, 26.5 L
500,1,Sector 73, 13 L
950,2,other, 26.5 L
500,1,Sector 72, 13 L
850,2,Sector 72, 19 L
850,2,Sector 73, 18 L
550,1,Sector 72, 16.5 L
800,2,Sector 72, 15.5 L
850,2,Sector 73, 22 L
850,2,Sector 73, 16.5 L
550,1,Sector 73, 13 L
850,2,Sector 73, 17.5 L
950,2,Sector 73, 40 L
550,1,Sector 73, 13 L
850,2,Sector 73, 17.5 L
850,2,Sector 73, 18 L
950,2,Sector 73, 26.5 L
550,1,Sector 73, 11.5 L
850,2,Sector 73, 18.5 L
950,2,Sector 73, 26.5 L
850,2,Sector 72, 19.5 L
850,2,Sector 73, 15.5 L
950,2,Sector 73, 40 L
550,1,Sector 73, 13 L
850,2,Sector 73, 16.5 L
850,2,Sector 73, 18.5 L
850,2,Sector 73, 18.5 L
550,1,Sector 75, 17 L
1050,2,Sector 73, 26 L
1050,2,other, 25.5 L
550,1,Sector 73, 12.9 L
850,2,Sector 73, 18.5 L
550,1,Sector 72, 13 L
550,1,Sector 73, 11 L
550,1,Sector 73, 16.5 L
850,2,Sector 73, 15.5 L
850,2,Sector 73, 15.5 L
850,2,Sector 73, 16.5 L
550,1,Sector 73, 14.5 L
500,1,Sector 73, 13 L
850,2,Sector 73, 18.5 L
850,2,Sector 73, 18.5 L
925,2,Sector 137, 42 L
925,2,Sector 137, 37 L
1100,2,Sector 93, 78 L
2095,3,Sector 150, 1.45 Cr
1675,3,Sector 150, 1.14 Cr
1195,2,Sector 150, 78 L
2800,4,Sector 93A, 3.45 Cr
1100,2,Sector 93, 74 L
1350,2,Sector 152, 1.25 Cr
1350,2,Sector 152, 1.25 Cr
1350,2,Sector 152, 1.25 Cr
3750,5,Sector 150, 2.43 Cr
4350,5,Sector 150, 2.82 Cr
4350,5,Sector 150, 2.82 Cr
2150,4,Sector 150, 1.39 Cr
2150,4,Sector 150, 1.39 Cr
1550,3,Sector 120, 70 L
2500,3,Sector 107, 2.62 Cr
2500,3,Sector 107, 2.62 Cr
3550,4,Sector 107, 3.72 Cr
3550,4,Sector 107, 3.72 Cr
2700,4,Sector 150, 1.75 Cr
3650,4,Sector 150, 2.24 Cr
3650,4,Sector 150, 2.24 Cr
2750,3,Sector 150, 1.69 Cr
2750,3,Sector 150, 1.69 Cr
2450,3,Sector 150, 1.5 Cr
2450,3,Sector 150, 1.5 Cr
3650,4,Sector 150, 2.24 Cr
3650,4,Sector 150, 2.24 Cr
2750,3,Sector 150, 1.69 Cr
2750,3,Sector 150, 1.69 Cr
2850,3,Sector 150, 1.75 Cr
2850,3,Sector 150, 1.75 Cr
771,2,Sector 150, 79 L
771,2,Sector 150, 79 L
771,2,Sector 150, 79 L
771,2,Sector 150, 79 L
801,2,Sector 150, 84.04 L
801,2,Sector 150, 84.04 L
773,2,Sector 150, 79.21 L
773,2,Sector 150, 79.21 L
1455,3,Sector 150, 1.51 Cr
1455,3,Sector 150, 1.51 Cr
977,2,Sector 150, 96.96 L
977,2,Sector 150, 96.96 L
1903,4,Sector 150, 1.99 Cr
1903,4,Sector 150, 1.99 Cr
1202,3,Sector 150, 1.18 Cr
1202,3,Sector 150, 1.18 Cr
1907,3,Sector 150, 1.46 Cr
1907,3,Sector 150, 1.46 Cr
2700,4,Sector 150, 2.14 Cr
2700,4,Sector 150, 2.14 Cr
1907,3,Sector 150, 1.46 Cr
1907,3,Sector 150, 1.46 Cr
2700,4,Sector 150, 2.14 Cr
1907,3,Sector 150, 1.46 Cr
2700,4,Sector 150, 2.14 Cr
2700,4,Sector 150, 2.14 Cr
1907,3,Sector 150, 1.46 Cr
1907,3,Sector 150, 1.46 Cr
2700,4,Sector 150, 2.14 Cr
