Area in Sqrt,No.of Bhk,Location,price_rupees,price_per_sqft,area_per_bhk
3720,4,Sector 107,39000000,10483.870967741936,930.0
1625,3,Sector 50,11500000,7076.923076923077,541.6666666666666
1325,3,Sector 120,6000000,4528.301886792453,441.6666666666667
650,1,Sector 73,1900000,2923.076923076923,650.0
950,2,other,2599000,2735.7894736842104,475.0
2050,4,Sector 150,19800000,9658.536585365853,512.5
2460,3,Sector 150,22200000,9024.39024390244,820.0
1425,3,Sector 143B,9450000,6631.578947368421,475.0
2500,3,Sector 107,22500000,9000.0,833.3333333333334
1750,3,Sector 150,13500000,7714.285714285715,583.3333333333334
1970,3,Sector 77,12800000,6497.46192893401,656.6666666666666
585,1,Sector 120,2999000,5126.495726495727,585.0
1750,3,Sector 62,8200000,4685.714285714285,583.3333333333334
783,3,Sector 150,10500000,13409.961685823755,261.0
1750,3,Sector 150,13500000,7714.285714285715,583.3333333333334
600,1,Sector 50,1299000,2165.0,600.0
3000,4,Sector 107,29700000,9900.000000000002,750.0
1155,2,Sector 150,8600000,7445.887445887446,577.5
950,2,other,2450000,2578.9473684210525,475.0
2150,4,Sector 41,27500000,12790.697674418605,537.5
1525,3,Sector 75,10000000,6557.377049180328,508.3333333333333
1690,3,Sector 79,14000000,8284.023668639053,563.3333333333334
6250,5,Sector 128,76500000,12240.0,1250.0
750,2,Sector 75,2185000,2913.3333333333335,375.0
1500,3,Sector 74,5752000,3834.6666666666665,500.0
1050,2,Sector 73,2500000,2380.9523809523807,525.0
1775,3,Sector 152,18000000,10140.845070422536,591.6666666666666
2500,3,Sector 78,27400000,10960.000000000002,833.3333333333334
2450,3,Sector 108,32000000,13061.224489795919,816.6666666666666
3751,4,Sector 144,54000000,14396.161023727007,937.75
1180,3,Sector 150,3900000,3305.084745762712,393.3333333333333
1220,2,Sector 62,14700000,12049.180327868853,610.0
600,2,Sector 49,2800000,4666.666666666667,300.0
690,1,other,2099000,3042.0289855072465,690.0
1100,2,Sector 93,7950000,7227.272727272727,550.0
960,2,Sector 75,2850000,2968.75,480.0
1150,2,Sector 143B,8050000,7000.0,575.0
6480,6,other,92500000,14274.691358024691,1080.0
1380,2,Sector 94,22000000,15942.028985507246,690.0
1695,3,Sector 137,8000000,4719.76401179941,565.0
953,2,other,3959000,4154.249737670515,476.5
4874,4,Sector 108,46300000,9499.384489125974,1218.5
1200,3,Sector 150,5000000,4166.666666666667,400.0
2715,5,Sector 79,23000000,8471.45488029466,543.0
1580,3,Sector 137,6650000,4208.860759493671,526.6666666666666
604,2,Sector 19 Yamuna Expressway,3796000,6284.76821192053,302.0
1300,2,Sector 105,9200000,7076.923076923077,650.0
1100,2,Sector 44,3500000,3181.818181818182,550.0
3047,4,other,18100000,5940.269117164424,761.75
8000,8,other,57500000,7187.5,1000.0
1300,1,other,9500000,7307.692307692308,1300.0
1245,2,Sector 79,8175000,6566.265060240964,622.5
3525,4,Sector 78,42300000,12000.000000000002,881.25
2410,4,Sector 76,13500000,5601.659751037344,602.5
5724,4,Sector 107,31000000,5415.793151642209,1431.0
535,1,Sector 94,8025000,15000.0,535.0
1350,3,Sector 121,17500000,12962.962962962964,450.0
950,2,Sector 45,3400000,3578.9473684210525,475.0
1248,3,Sector 43,33500000,26842.94871794872,416.0
2563,3,Sector 43,33500000,13070.620366757707,854.3333333333334
990,2,Sector 78,6681999,6749.494949494949,495.0
1390,3,Sector 78,9382000,6749.640287769784,463.3333333333333
1390,3,Sector 78,9382000,6749.640287769784,463.3333333333333
1465,3,Sector 78,9888000,6749.488054607508,488.3333333333333
1465,3,Sector 78,9888000,6749.488054607508,488.3333333333333
1404,3,Sector 150,10500000,7478.6324786324785,468.0
1155,2,Sector 150,8600000,7445.887445887446,577.5
1155,2,Sector 150,8600000,7445.887445887446,577.5
2500,3,Sector 107,25700000,10280.0,833.3333333333334
2970,4,Sector 107,30500000,10269.36026936027,742.5
2970,4,Sector 107,30500000,10269.36026936027,742.5
2575,3,Sector 107,26500000,10291.26213592233,858.3333333333334
2575,3,Sector 107,26500000,10291.26213592233,858.3333333333334
3550,4,Sector 107,36500000,10281.69014084507,887.5
3550,4,Sector 107,36500000,10281.69014084507,887.5
2510,3,Sector 75,28800000,11474.10358565737,836.6666666666666
5300,5,Sector 75,60900000,11490.566037735849,1060.0
2700,4,Sector 150,19100000,7074.074074074074,675.0
2700,4,Sector 150,19100000,7074.074074074074,675.0
2700,4,Sector 150,19100000,7074.074074074074,675.0
1465,2,Sector 150,9654000,6589.761092150171,732.5
1425,2,Sector 150,9390000,6589.473684210527,712.5
1945,3,Sector 150,12800000,6580.976863753213,648.3333333333334
2385,3,Sector 150,16900000,7085.953878406709,795.0
1945,3,Sector 150,12800000,6580.976863753213,648.3333333333334
2385,3,Sector 150,16900000,7085.953878406709,795.0
1760,3,Sector 150,11500000,6534.090909090909,586.6666666666666
1760,3,Sector 150,11500000,6534.090909090909,586.6666666666666
2700,4,Sector 150,19100000,7074.074074074074,675.0
2700,4,Sector 150,19100000,7074.074074074074,675.0
2700,4,Sector 150,19100000,7074.074074074074,675.0
6250,5,Sector 128,76500000,12240.0,1250.0
6250,5,Sector 128,76500000,12240.0,1250.0
3465,4,Sector 128,42400000,12236.652236652237,866.25
3465,4,Sector 128,42400000,12236.652236652237,866.25
3325,4,Sector 128,40700000,12240.601503759399,831.25
3325,4,Sector 128,40700000,12240.601503759399,831.25
3775,4,Sector 128,46200000,12238.41059602649,943.75
3775,4,Sector 128,46200000,12238.41059602649,943.75
3575,4,Sector 128,43700000,12223.776223776224,893.75
3575,4,Sector 128,43700000,12223.776223776224,893.75
6100,5,Sector 128,74700000,12245.901639344262,1220.0
6100,5,Sector 128,74700000,12245.901639344262,1220.0
5550,4,Sector 128,67900000,12234.234234234234,1387.5
5550,4,Sector 128,67900000,12234.234234234234,1387.5
2700,3,Sector 128,30299999,11222.22222222222,900.0
2700,3,Sector 128,30299999,11222.22222222222,900.0
2850,3,Sector 128,32000000,11228.070175438597,950.0
2850,3,Sector 128,32000000,11228.070175438597,950.0
5900,5,Sector 128,72200000,12237.28813559322,1180.0
5900,5,Sector 128,72200000,12237.28813559322,1180.0
1510,3,Sector 78,7000000,4635.761589403974,503.3333333333333
500,1,Sector 17A Yamuna Expressway,2100000,4200.0,500.0
500,1,Sector 17A Yamuna Expressway,2100000,4200.0,500.0
500,1,Sector 17A Yamuna Expressway,2100000,4200.0,500.0
500,1,Sector 17A Yamuna Expressway,2100000,4200.0,500.0
500,1,Sector 17A Yamuna Expressway,2100000,4200.0,500.0
500,1,Sector 17A Yamuna Expressway,2100000,4200.0,500.0
500,1,Sector 17A Yamuna Expressway,2100000,4200.0,500.0
500,1,Sector 17A Yamuna Expressway,2100000,4200.0,500.0
500,1,Sector 17A Yamuna Expressway,2099000,4198.0,500.0
500,1,Sector 17A Yamuna Expressway,2099000,4198.0,500.0
500,1,Sector 17A Yamuna Expressway,2200000,4400.0,500.0
500,1,Sector 17A Yamuna Expressway,2099000,4198.0,500.0
500,1,Sector 17A Yamuna Expressway,2099000,4198.0,500.0
500,1,Sector 17A Yamuna Expressway,2099000,4198.0,500.0
500,1,Sector 17A Yamuna Expressway,2099000,4198.0,500.0
500,1,Sector 17A Yamuna Expressway,2099000,4198.0,500.0
500,1,Sector 17A Yamuna Expressway,2099000,4198.0,500.0
500,1,Sector 17A Yamuna Expressway,2099000,4198.0,500.0
500,1,Sector 17A Yamuna Expressway,2099000,4198.0,500.0
500,1,Sector 17A Yamuna Expressway,2099000,4198.0,500.0
500,1,Sector 17A Yamuna Expressway,2099000,4198.0,500.0
500,1,Sector 17A Yamuna Expressway,2099000,4198.0,500.0
500,1,Sector 17A Yamuna Expressway,2099000,4198.0,500.0
500,1,Sector 17A Yamuna Expressway,2099000,4198.0,500.0
500,1,Sector 17A Yamuna Expressway,2099000,4198.0,500.0
500,1,Sector 17A Yamuna Expressway,2099000,4198.0,500.0
3220,4,Sector 150,22599999,7018.63354037267,805.0
850,2,Sector 73,1850000,2176.470588235294,425.0
550,1,Sector 72,1300000,2363.6363636363635,550.0
950,2,other,2650000,2789.4736842105262,475.0
500,1,Sector 73,1300000,2600.0,500.0
950,2,other,2650000,2789.4736842105262,475.0
500,1,Sector 72,1300000,2600.0,500.0
850,2,Sector 72,1900000,2235.294117647059,425.0
850,2,Sector 73,1800000,2117.6470588235293,425.0
550,1,Sector 72,1650000,3000.0,550.0
800,2,Sector 72,1550000,1937.5,400.0
850,2,Sector 73,2200000,2588.235294117647,425.0
850,2,Sector 73,1650000,1941.1764705882354,425.0
550,1,Sector 73,1300000,2363.6363636363635,550.0
850,2,Sector 73,1750000,2058.823529411765,425.0
950,2,Sector 73,4000000,4210.526315789473,475.0
550,1,Sector 73,1300000,2363.6363636363635,550.0
850,2,Sector 73,1750000,2058.823529411765,425.0
850,2,Sector 73,1800000,2117.6470588235293,425.0
950,2,Sector 73,2650000,2789.4736842105262,475.0
